M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  CompileProperty : M=1506.45mb, Malloc-M=463mb, T=3s W=(2023-10-26 13:34:09)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   before VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   after  VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   before BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   |   before PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:09)
STATS:: after  CompileProperty : M=1506.45mb, Malloc-M=463mb, T=2s W=(2023-10-26 13:34:11)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   before VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   after  VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   before BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   |   before PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:11)
STATS:: after  CompileProperty : M=1506.45mb, Malloc-M=463mb, T=3s W=(2023-10-26 13:34:14)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   before VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   after  VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   before BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   |   before PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:14)
STATS:: after  CompileProperty : M=1506.45mb, Malloc-M=463mb, T=3s W=(2023-10-26 13:34:17)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:17)
STATS:: |   before VsiLib_Restore : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:17)
