(2023-10-23 22:47:39),0.0274509,0,start,1366.85,385,LicenseMgr Init : 
(2023-10-23 22:47:40),0.0468233,0,end,1373.13,386,LicenseMgr Init : 
(2023-10-23 22:47:43),0.0928715,0,start,1459.4,419,VCS Read Task : 
(2023-10-23 22:47:46),0.147407,0,end,1459.4,419,VCS Read Task : 
(2023-10-23 22:47:46),0.148105,0,start,1459.4,419,Load VCS Message: 
(2023-10-23 22:47:46),0.14837,0,end,1459.4,419,Load VCS Message: 
(2023-10-23 22:47:46),0.148504,0,start,1459.4,419,NLDM Creation : 
(2023-10-23 22:47:46),0.148571,0,start,1459.4,419,LoadCircuitModel : 
(2023-10-23 22:47:46),0.148724,0,start,1459.4,420,VsiLib_Restore : 
(2023-10-23 22:47:46),0.148806,0,end,1459.4,420,VsiLib_Restore : 
(2023-10-23 22:47:46),0.148863,0,end,1459.4,420,LoadCircuitModel : 
(2023-10-23 22:47:46),0.148914,0,start,1459.4,420,BuildNetlist : 
(2023-10-23 22:47:46),0.148965,0,start,1459.4,420,NLDM Build : 
(2023-10-23 22:47:46),0.149333,0,end,1474.35,437,NLDM Build : 
(2023-10-23 22:47:46),0.149462,1,start,1474.35,437,Cell properties : 
(2023-10-23 22:47:46),0.149543,1,end,1474.36,437,Cell properties : 
(2023-10-23 22:47:46),0.149614,0,end,1474.36,437,BuildNetlist : 
(2023-10-23 22:47:46),0.149686,0,end,1474.36,437,NLDM Creation : 
(2023-10-23 22:47:46),0.149802,0,start,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.14995,0,end,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.150031,0,start,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.150113,0,end,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.150196,0,start,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.150265,0,end,1474.36,437,PropertyLoad: Formal Property : 
(2023-10-23 22:47:46),0.150352,0,start,1474.36,436,StaticCheck: StaticCheckProcess : 
(2023-10-23 22:47:46),0.150428,0,start,1474.36,436,StaticCheck: NldfgFlatDesign : 
(2023-10-23 22:47:46),0.150501,0,start,1474.36,436,StaticCheck: createFlatDesign : 
(2023-10-23 22:47:46),0.150838,0,end,1482.38,445,StaticCheck: createFlatDesign : 
(2023-10-23 22:47:46),0.15092,0,start,1482.38,445,StaticCheck: legalize : 
(2023-10-23 22:47:46),0.151005,0,end,1482.38,445,StaticCheck: legalize : 
(2023-10-23 22:47:46),0.151068,0,start,1482.38,445,StaticCheck: computeNetEquivalences : 
(2023-10-23 22:47:46),0.151138,0,end,1482.38,445,StaticCheck: computeNetEquivalences : 
(2023-10-23 22:47:46),0.151204,0,start,1482.38,445,StaticCheck: eliminateBidirectionals : 
(2023-10-23 22:47:46),0.151283,0,end,1482.38,445,StaticCheck: eliminateBidirectionals : 
(2023-10-23 22:47:46),0.151362,0,end,1482.38,445,StaticCheck: NldfgFlatDesign : 
(2023-10-23 22:47:46),0.151428,0,start,1482.38,445,StaticCheck: CombLoopCheck  : 
(2023-10-23 22:47:46),0.151528,0,end,1482.38,445,StaticCheck: CombLoopCheck  : 
(2023-10-23 22:47:46),0.151608,0,start,1482.38,445,StaticCheck: MultiDriverCheck  : 
(2023-10-23 22:47:46),0.151701,0,end,1482.38,445,StaticCheck: MultiDriverCheck  : 
(2023-10-23 22:47:46),0.151811,0,end,1482.38,436,StaticCheck: StaticCheckProcess : 
(2023-10-23 22:47:46),0.15203,0,start,1482.38,436,populate SSF data: 
(2023-10-23 22:47:46),0.15212,0,end,1482.38,436,populate SSF data: 
(2023-10-23 22:47:46),0.152193,0,start,1482.38,436,DumpGateCountStats : 
(2023-10-23 22:47:46),0.152334,0,end,1482.38,436,DumpGateCountStats : 
(2023-10-23 22:47:46),0.152444,1,start,1482.38,445,ModuleDesignPropagation : 
(2023-10-23 22:47:46),0.15251,1,end,1482.38,445,ModuleDesignPropagation : 
(2023-10-23 22:47:46),0.154607,0,start,1483.65,448,sim build substep: 
(2023-10-23 22:47:47),0.155297,0,end,1491.95,456,sim build substep: 
(2023-10-23 22:47:47),0.155357,0,start,1491.95,456,sim run substep: 
(2023-10-23 22:47:47),0.155626,0,end,1495.98,460,sim run substep: 
(2023-10-23 22:47:47),0.155704,0,start,1496.05,460,sim_save_reset : 
(2023-10-23 22:47:47),0.156736,0,end,1505.66,462,sim_save_reset : 
(2023-10-23 22:47:47),0.157168,0,start,1505.66,462,CompileProperty : 
(2023-10-23 22:47:49),0.194959,0,end,1505.66,462,CompileProperty : 
(2023-10-23 22:47:49),0.19504,0,start,1505.66,462,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-23 22:47:49),0.195132,0,start,1505.66,462,VsiLib_Restore : 
(2023-10-23 22:47:49),0.195185,0,end,1505.66,462,VsiLib_Restore : 
(2023-10-23 22:47:49),0.195242,0,start,1505.66,462,BanffAddSvaProperty: createModel : 
(2023-10-23 22:47:49),0.195298,0,end,1505.66,462,BanffAddSvaProperty: createModel : 
(2023-10-23 22:47:49),0.195377,0,start,1505.66,462,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-23 22:47:49),0.195431,0,start,1505.66,462,BanffAddSvaProperty: instrumentProperty : 
(2023-10-23 22:47:49),0.195528,0,end,1505.66,462,BanffAddSvaProperty: instrumentProperty : 
(2023-10-23 22:47:49),0.195611,0,start,1505.66,462,PropertyLoad: Formal Property : 
(2023-10-23 22:47:49),0.195682,0,end,1505.66,462,PropertyLoad: Formal Property : 
(2023-10-23 22:47:49),0.195736,0,end,1505.66,462,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-23 22:47:49),0.195788,0,end,1505.66,462,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-23 22:47:59),0.366449,0,start,1505.65,462,Check: check_fv : 
(2023-10-23 22:47:59),0.366663,0,start,1505.65,462,Check: BuildFormal : 
(2023-10-23 22:47:59),0.366774,0,start,1505.65,462,Check: ResetSetup : 
(2023-10-23 22:47:59),0.366881,0,start,1505.65,462,Check: EnvInstrumentation : 
(2023-10-23 22:47:59),0.366985,0,end,1505.65,462,Check: EnvInstrumentation : 
(2023-10-23 22:47:59),0.367084,0,end,1505.65,462,Check: ResetSetup : 
(2023-10-23 22:47:59),0.367185,0,start,1505.65,462,Check: BotEotInstr : 
(2023-10-23 22:47:59),0.367275,0,end,1505.65,462,Check: BotEotInstr : 
(2023-10-23 22:47:59),0.367422,0,start,1505.65,462,Check: VPReset : 
(2023-10-23 22:47:59),0.367839,0,end,1505.65,462,Check: VPReset : 
(2023-10-23 22:47:59),0.367948,0,start,1505.65,462,Check: FormalModel : 
(2023-10-23 22:47:59),0.367999,0,start,1505.65,462,DfgBuild: Setup : 
(2023-10-23 22:47:59),0.368053,0,end,1505.65,462,DfgBuild: Setup : 
(2023-10-23 22:47:59),0.368102,0,start,1505.65,462,DfgBuild: Flatten : 
(2023-10-23 22:47:59),0.368305,0,end,1513.66,471,DfgBuild: Flatten : 
(2023-10-23 22:47:59),0.36838,0,start,1513.66,471,DfgBuild: ClockSetup : 
(2023-10-23 22:47:59),0.368449,0,end,1513.66,471,DfgBuild: ClockSetup : 
(2023-10-23 22:47:59),0.368511,0,start,1513.66,471,DfgBuild: Modeling : 
(2023-10-23 22:47:59),0.368575,0,end,1513.66,471,DfgBuild: Modeling : 
(2023-10-23 22:47:59),0.368635,0,start,1513.66,471,DfgBuild: FlatRemodel : 
(2023-10-23 22:47:59),0.368715,0,end,1513.66,471,DfgBuild: FlatRemodel : 
(2023-10-23 22:47:59),0.368787,0,start,1513.66,471,DfgBuild: NldfgBuild : 
(2023-10-23 22:47:59),0.368856,0,start,1513.66,471,NldfgBuild : Print statistics 
(2023-10-23 22:47:59),0.368917,0,end,1513.66,471,NldfgBuild : Print statistics 
(2023-10-23 22:47:59),0.368981,0,start,1513.66,471,NldfgBuild : Cutpoint Insertion 
(2023-10-23 22:47:59),0.369061,0,end,1513.66,471,NldfgBuild : Cutpoint Insertion 
(2023-10-23 22:47:59),0.369135,0,start,1513.66,471,NldfgBuild : Compute net equivalences 
(2023-10-23 22:47:59),0.369199,0,end,1513.66,471,NldfgBuild : Compute net equivalences 
(2023-10-23 22:47:59),0.369266,0,start,1513.66,471,NldfgBuild : Eliminate bidirectionals 
(2023-10-23 22:47:59),0.369343,0,end,1513.66,471,NldfgBuild : Eliminate bidirectionals 
(2023-10-23 22:47:59),0.369421,0,start,1513.66,471,NldfgBuild : Remove false combo loops 
(2023-10-23 22:47:59),0.369518,0,end,1513.66,471,NldfgBuild : Remove false combo loops 
(2023-10-23 22:47:59),0.369615,0,start,1513.66,471,NldfgBuild : Create dfg 
(2023-10-23 22:47:59),0.369757,0,start,1513.66,472,NldfgBuild : Create graph 
(2023-10-23 22:47:59),0.369842,0,end,1513.66,472,NldfgBuild : Create graph 
(2023-10-23 22:47:59),0.369902,0,start,1513.66,472,NldfgBuild : Create terminal sinks and sources 
(2023-10-23 22:47:59),0.370025,0,end,1513.66,472,NldfgBuild : Create terminal sinks and sources 
(2023-10-23 22:47:59),0.370092,0,start,1513.66,472,NldfgBuild : Compute dependencies 
(2023-10-23 22:47:59),0.370173,0,end,1513.66,472,NldfgBuild : Compute dependencies 
(2023-10-23 22:47:59),0.370244,0,start,1513.66,472,NldfgBuild : Compute combinational SCCs 
(2023-10-23 22:47:59),0.37032,0,end,1513.66,472,NldfgBuild : Compute combinational SCCs 
(2023-10-23 22:47:59),0.370382,0,start,1513.66,472,NldfgBuild : Compute templates 
(2023-10-23 22:47:59),0.37073,0,end,1513.66,472,NldfgBuild : Compute templates 
(2023-10-23 22:47:59),0.370804,0,start,1513.66,472,NldfgBuild : Eliminate combinational SCCs 
(2023-10-23 22:47:59),0.370877,0,end,1513.66,472,NldfgBuild : Eliminate combinational SCCs 
(2023-10-23 22:47:59),0.370953,0,start,1513.66,472,NldfgBuild : Computing sequential SCCs 
(2023-10-23 22:47:59),0.371035,0,end,1513.66,472,NldfgBuild : Computing sequential SCCs 
(2023-10-23 22:47:59),0.371099,0,start,1513.66,472,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2023-10-23 22:47:59),0.371167,0,end,1513.66,472,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2023-10-23 22:47:59),0.371234,0,start,1513.66,472,NldfgBuild : SymSimulator Analysis and computation 
(2023-10-23 22:48:00),0.371613,0,end,1513.66,472,NldfgBuild : SymSimulator Analysis and computation 
(2023-10-23 22:48:00),0.371677,0,end,1513.66,472,NldfgBuild : Create dfg 
(2023-10-23 22:48:00),0.371744,0,end,1513.66,472,DfgBuild: NldfgBuild : 
(2023-10-23 22:48:00),0.371802,0,start,1513.66,472,StaticCheck: StaticCheckProcess : 
(2023-10-23 22:48:00),0.371859,0,start,1513.66,472,StaticCheck: NldfgFlatDesign : 
(2023-10-23 22:48:00),0.371916,0,end,1513.66,472,StaticCheck: NldfgFlatDesign : 
(2023-10-23 22:48:00),0.371969,0,start,1513.66,472,StaticCheck: CombLoopCheck  : 
(2023-10-23 22:48:00),0.372039,0,end,1513.66,472,StaticCheck: CombLoopCheck  : 
(2023-10-23 22:48:00),0.372089,0,start,1513.66,472,StaticCheck: MultiDriverCheck  : 
(2023-10-23 22:48:00),0.372144,0,end,1513.66,472,StaticCheck: MultiDriverCheck  : 
(2023-10-23 22:48:00),0.372198,0,end,1513.66,472,StaticCheck: StaticCheckProcess : 
(2023-10-23 22:48:00),0.372311,0,start,1513.66,472,DfgBuild: DfgRemodel : 
(2023-10-23 22:48:00),0.372867,0,end,1513.66,471,DfgBuild: DfgRemodel : 
(2023-10-23 22:48:00),0.37295,0,end,1513.66,462,Check: FormalModel : 
(2023-10-23 22:48:00),0.373066,0,end,1513.66,462,Check: BuildFormal : 
(2023-10-23 22:48:00),0.373142,0,start,1513.66,462,Check: GCDB : 
(2023-10-23 22:48:00),0.373283,0,end,1513.66,462,Check: GCDB : 
(2023-10-23 22:48:00),0.373396,0,start,1513.66,462,Check: Tanglewood : 
(2023-10-23 22:48:00),0.374473,0,end,1513.66,462,Check: Tanglewood : 
(2023-10-23 22:48:00),0.374547,0,end,1513.66,462,Check: check_fv : 
