(2023-10-26 13:38:09),0.264289,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:09),0.264397,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:09),0.264475,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:09),0.266442,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:09),0.266582,0,start,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:09),0.266684,0,end,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:09),0.266748,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:09),0.266809,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:09),0.267238,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:12),0.312798,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:12),0.312889,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:12),0.313026,0,start,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:12),0.313111,0,end,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:12),0.313202,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:12),0.313289,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:12),0.313424,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:12),0.313499,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:12),0.313662,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:12),0.31379,0,start,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:12),0.313899,0,end,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:12),0.31398,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:12),0.314065,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:12),0.314568,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:15),0.360986,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:15),0.361086,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:15),0.361232,0,start,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:15),0.361336,0,end,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:15),0.361425,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:15),0.361511,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:15),0.361651,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:15),0.361732,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:15),0.361905,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:15),0.362016,0,start,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:15),0.36212,0,end,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:15),0.362189,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:15),0.36226,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:15),0.362645,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:18),0.408017,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:18),0.408103,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:18),0.408217,0,start,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:18),0.408296,0,end,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:18),0.408385,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:18),0.408468,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:18),0.408585,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:18),0.408696,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:18),0.408888,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:18),0.408997,0,start,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:18),0.409105,0,end,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:18),0.409184,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:18),0.40929,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:18),0.40974,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:20),0.451422,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:20),0.451503,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:20),0.451609,0,start,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:20),0.45167,0,end,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:20),0.451729,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:20),0.451807,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:20),0.451891,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:20),0.451945,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:20),0.452064,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:20),0.452156,0,start,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:20),0.452255,0,end,1507.17,464,PropertyLoad: Formal Property : 
(2023-10-26 13:38:20),0.452329,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:20),0.452401,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:20),0.452787,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:23),0.49602,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:23),0.496082,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:23),0.496175,0,start,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:23),0.496236,0,end,1507.17,464,VsiLib_Restore : 
(2023-10-26 13:38:23),0.496302,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:23),0.496359,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:23),0.496444,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:23),0.496502,0,start,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:23),0.496627,0,end,1507.17,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:23),0.496715,0,start,1507.17,465,PropertyLoad: Formal Property : 
(2023-10-26 13:38:23),0.496804,0,end,1507.17,465,PropertyLoad: Formal Property : 
(2023-10-26 13:38:23),0.496864,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:23),0.496929,0,end,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:23),0.497304,0,start,1507.17,464,CompileProperty : 
(2023-10-26 13:38:25),0.53404,0,end,1507.17,464,CompileProperty : 
(2023-10-26 13:38:25),0.534097,0,start,1507.17,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:25),0.534174,0,start,1507.17,465,VsiLib_Restore : 
(2023-10-26 13:38:25),0.534226,0,end,1507.17,465,VsiLib_Restore : 
(2023-10-26 13:38:25),0.534284,0,start,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:25),0.534338,0,end,1507.17,464,BanffAddSvaProperty: createModel : 
(2023-10-26 13:38:25),0.534412,0,start,1507.17,465,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:25),0.534467,0,start,1507.17,465,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:38:25),0.534582,0,end,1507.17,465,BanffAddSvaProperty: instrumentProperty : 
