(2023-10-26 13:34:11),0.255736,0,end,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:11),0.255883,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:11),0.255989,0,start,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:11),0.256258,0,end,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:11),0.256371,0,start,1506.45,463,PropertyLoad: Formal Property : 
(2023-10-26 13:34:11),0.256509,0,end,1506.45,463,PropertyLoad: Formal Property : 
(2023-10-26 13:34:11),0.256584,0,end,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:11),0.25666,0,end,1506.45,463,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:11),0.257143,0,start,1506.45,463,CompileProperty : 
(2023-10-26 13:34:14),0.296898,0,end,1506.45,463,CompileProperty : 
(2023-10-26 13:34:14),0.29696,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:14),0.297044,0,start,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:14),0.297109,0,end,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:14),0.297192,0,start,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:14),0.297264,0,end,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:14),0.297356,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:14),0.297422,0,start,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:14),0.29762,0,end,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:14),0.29773,0,start,1506.45,463,PropertyLoad: Formal Property : 
(2023-10-26 13:34:14),0.297829,0,end,1506.45,463,PropertyLoad: Formal Property : 
(2023-10-26 13:34:14),0.297889,0,end,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:14),0.297943,0,end,1506.45,463,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:14),0.298304,0,start,1506.45,463,CompileProperty : 
(2023-10-26 13:34:17),0.34352,0,end,1506.45,463,CompileProperty : 
(2023-10-26 13:34:17),0.343609,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:17),0.343726,0,start,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:17),0.343816,0,end,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:17),0.343912,0,start,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:17),0.343992,0,end,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:17),0.34413,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:17),0.344212,0,start,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:17),0.344477,0,end,1506.45,464,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:17),0.344599,0,start,1506.45,464,PropertyLoad: Formal Property : 
(2023-10-26 13:34:17),0.344718,0,end,1506.45,464,PropertyLoad: Formal Property : 
(2023-10-26 13:34:17),0.344804,0,end,1506.45,464,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:17),0.344888,0,end,1506.45,464,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:17),0.345399,0,start,1506.45,464,CompileProperty : 
