M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=463mb, T=3s W=(2023-10-26 13:38:06)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:06)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:38:09)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
